scipy_idx_a,scipy_idx_b,distance,size
48,49,0.00012943084348204792,2.0
44,45,0.00015140991341855425,2.0
34,36,0.00020852562839901445,2.0
41,56,0.00022090963552834353,2.0
27,28,0.00025197610887117694,2.0
23,134,0.0002840010509665425,3.0
99,102,0.0003201008479850609,2.0
30,31,0.00032480794046718664,2.0
32,42,0.00034033053182302986,2.0
33,35,0.0003428551819267822,2.0
83,104,0.00035510042025355126,2.0
43,50,0.0004060808853542097,2.0
51,52,0.0004361810225089746,2.0
24,135,0.00044387559496344986,3.0
136,142,0.0004613552160722123,4.0
128,129,0.00046345271122694154,2.0
107,121,0.0004756099051834717,2.0
98,101,0.0004781414160806019,2.0
114,115,0.0004835957726814222,2.0
29,141,0.0004873511592708435,3.0
25,138,0.0004996199940314194,3.0
39,137,0.0005342282026647438,3.0
53,54,0.0005542499580527549,2.0
131,133,0.0005751522539871878,2.0
64,108,0.0005762255033254782,2.0
100,151,0.0005953666832765325,3.0
123,124,0.0006023272925946843,2.0
80,95,0.0006588601332998545,2.0
84,85,0.0006610724370080812,2.0
122,150,0.0006776246560502575,3.0
81,93,0.000689384680832239,2.0
46,139,0.0006915240645262166,4.0
16,59,0.0007135858954551155,2.0
38,97,0.0007258893689604529,2.0
110,120,0.0007319297392551771,2.0
145,146,0.0007642785712190237,4.0
105,144,0.0007682596970437494,3.0
55,155,0.0007780429044221086,4.0
37,106,0.0007904226057527941,2.0
61,62,0.0008014133582436855,2.0
82,88,0.0008263727607870086,2.0
72,73,0.0008533252109832468,2.0
68,162,0.0008728933269720462,3.0
1,40,0.0009059489955814959,2.0
116,125,0.0009259961253773596,2.0
113,118,0.0009305721032362158,2.0
47,165,0.000943696419367035,5.0
57,87,0.0009467778479098632,2.0
127,149,0.0010186855644682136,3.0
76,103,0.0010416855728589969,2.0
20,153,0.001077644647513513,4.0
7,96,0.0011467811018981422,2.0
14,156,0.0011500770386695391,3.0
58,174,0.0011666769397604138,3.0
147,180,0.0011755758723489033,8.0
26,181,0.0011794772973504064,3.0
67,77,0.0011922781023607776,2.0
126,182,0.0012148812942132103,4.0
60,90,0.0012913498440840776,2.0
117,168,0.0012946109376430481,3.0
143,189,0.0013411530592396896,5.0
170,183,0.0013415793773963551,5.0
78,79,0.0013416877189987853,2.0
130,132,0.0013488129959629003,2.0
6,89,0.0013728830853652063,2.0
17,148,0.0013908655891890775,5.0
13,71,0.0014130316715676994,2.0
65,92,0.0014549097897513796,2.0
91,179,0.001460635002330457,3.0
154,188,0.0014902906372718052,11.0
19,169,0.0014904692628767424,5.0
163,191,0.0014927689944270277,7.0
94,161,0.0015386598198788293,3.0
74,206,0.001621812669568364,4.0
112,158,0.0016345983970834088,3.0
22,172,0.0017009965547687411,3.0
166,192,0.0017227455835825134,4.0
157,178,0.0017565436560078862,4.0
193,197,0.0018269666336073742,5.0
9,70,0.00188820517749122,2.0
177,186,0.0018923461346318133,5.0
66,205,0.0018996647520631888,8.0
140,185,0.001977598574356837,4.0
11,12,0.002039703398760806,2.0
171,204,0.0020535368373678087,9.0
164,194,0.002067625372834325,7.0
109,152,0.0020749965488222055,3.0
0,4,0.0022124714210460805,2.0
198,216,0.0022457452597363092,6.0
173,176,0.0022497432817406757,5.0
200,223,0.002372396818573841,7.0
167,175,0.0023737199468385484,4.0
8,209,0.0025154525202551645,4.0
63,212,0.002545372259529821,6.0
3,21,0.0027391040875693884,2.0
201,213,0.002760166905843381,4.0
5,210,0.0027650198945207705,5.0
111,160,0.002863399660600008,3.0
10,217,0.0031258238310639674,3.0
15,86,0.0031434738847174737,2.0
199,219,0.0031728514465880543,12.0
211,227,0.0032914078042522907,10.0
187,224,0.0034830784631465017,10.0
18,214,0.003549134427934453,6.0
2,75,0.003679579943426159,2.0
202,220,0.003917955436110978,6.0
229,230,0.003956396379887405,9.0
69,208,0.004099297946485707,4.0
195,222,0.004146803146498857,11.0
196,233,0.004281971905282289,4.0
203,218,0.00445110656024288,20.0
207,236,0.004453254805506751,14.0
226,238,0.004529720724569267,6.0
221,234,0.00562558914381205,14.0
225,245,0.00585611567856487,18.0
215,235,0.006054836264543058,18.0
239,241,0.006144406216742809,10.0
242,247,0.006781244604817452,25.0
184,237,0.006814881457194559,10.0
159,248,0.0070411333986609426,21.0
190,243,0.00728019637408657,6.0
240,246,0.007679625044644994,15.0
119,231,0.008126723242147471,4.0
250,254,0.010302190597829825,16.0
244,252,0.01119739462027124,30.0
228,251,0.013712230372775105,27.0
232,253,0.01415592516268277,24.0
255,257,0.016050186274023506,31.0
249,256,0.016115630429139945,22.0
259,260,0.016839031240474964,51.0
261,262,0.020888526508118514,53.0
258,263,0.029570176771536415,81.0
264,265,0.07034194832602443,134.0
